name,ra,dec,redshift,mag_r,flag,N_g,N_r,N_i,N_z
J003303.70-431436.15,8.26542,-43.2434,1.229,21.0018,Q,110,122,120,231
J003304.35-434920.82,8.2681,-43.8224,1.047,22.1469,Q,13,25,34,104
J003307.13-424912.22,8.27971,-42.8201,1.596,20.374,QQ,116,124,124,234
J003309.15-432653.14,8.28812,-43.4481,1.141,20.9299,Q,101,109,104,176
J003314.76-433154.61,8.31149,-43.5318,1.095,21.4279,Q,211,222,225,453
J003315.32-433301.73,8.31384,-43.5505,2.429,20.5791,Q,223,233,232,463
J003316.35-433131.86,8.31815,-43.5255,1.241,22.5196,Q,128,181,198,381
J003318.29-434301.09,8.32621,-43.717,3.075,19.048,QQ,221,235,234,472
J003320.08-430428.38,8.33367,-43.0746,2.24,20.012,QQ,111,114,119,233
J003322.53-442412.42,8.34387,-44.4035,1.255,19.229,QQ,115,120,119,243
J003324.10-431701.76,8.35042,-43.2838,1.664,23.9075,Q,18,35,62,73
J003324.47-421829.01,8.35196,-42.3081,1.093,20.215,QQ,110,118,122,236
J003325.44-432208.54,8.356,-43.369,1.643,22.7071,Q,65,100,110,220
J003325.69-434826.10,8.35704,-43.8073,1.693,19.973,QQ,226,236,234,471
J003326.11-432613.16,8.35879,-43.437,2.773,20.5152,Q,113,119,121,237
J003328.72-433138.46,8.36969,-43.5274,2.055,23.0082,Q,171,165,198,323
J003330.14-420946.30,8.37558,-42.1629,0.728,19.85,QQ,117,119,123,235
J003331.34-441039.29,8.38058,-44.1776,0.878,19.538,QQ,40,44,52,137
J003332.28-430526.20,8.3845,-43.0906,1.156,18.281,QQ,116,125,121,237
J003333.91-431249.35,8.39129,-43.2137,1.512,21.5952,Q,113,118,118,229
J003336.22-434032.84,8.40093,-43.6758,2.725,23.5088,Q,97,97,46,27
J003337.99-420914.51,8.40829,-42.154,2.604,21.892,QQ,84,99,99,197
J003339.03-434412.54,8.41265,-43.7368,0.969,21.9044,Q,209,223,218,432
J003339.06-432554.11,8.41275,-43.4317,0.998,22.3483,Q,100,109,110,208
J003341.34-420811.51,8.42225,-42.1365,2.542,19.53,QQ,114,123,126,238
J003344.96-434352.45,8.43732,-43.7312,1.14,23.0853,Q,141,127,157,224
J003346.31-431109.08,8.44298,-43.1859,1.516,21.7253,Q,109,114,112,177
J003349.29-432307.27,8.45536,-43.3854,1.278,22.2972,Q,209,206,194,401
J003350.92-432739.46,8.46215,-43.461,1.25,20.6907,Q,223,237,236,468
J003350.95-435606.18,8.46229,-43.9351,0.806,19.454,QQ,226,233,233,474
J003352.60-433536.21,8.46918,-43.5934,1.579,23.1702,Q,95,147,140,124
J003352.72-425452.60,8.46967,-42.9146,2.587,18.872,QQ,117,124,121,240
J003353.55-432127.80,8.47312,-43.3577,1.403,21.3886,Q,212,228,224,446
J003354.82-443015.97,8.4784,-44.5044,0.2,19.0802,q,113,120,116,224
J003357.30-433601.79,8.48875,-43.6005,1.944,21.499,QQ,206,215,220,425
J003400.29-434403.13,8.50119,-43.7342,2.757,20.8627,Q,219,236,233,467
J003402.18-433614.19,8.5091,-43.6039,1.943,23.8191,Q,81,79,84,68
J003410.44-435118.09,8.5435,-43.855,2.229,23.434,Q,94,93,81,113
J003411.44-424329.50,8.54767,-42.7249,3.373,20.797,QQ,111,119,119,233
J003412.80-431530.82,8.55333,-43.2586,2.137,21.249,QQ,113,121,117,234
J003413.31-431847.29,8.55546,-43.3131,1.256,21.9485,Q,109,115,116,222
J003413.63-434650.60,8.55681,-43.7807,1.473,21.1309,Q,221,237,233,462
J003413.73-432600.39,8.55721,-43.4334,1.572,20.857,QQ,220,233,230,464
J003416.86-433709.92,8.57027,-43.6194,1.405,21.5561,Q,210,230,228,442
